hashed_id,rider_id,driver_id,fare,estimated_fare,ride_duration,estimated_ride_duration,ride_distance,estimated_ride_distance,status,rating,drivers_tried,undiscounted_fare,review_requested,discount,canceled_by,payment_type,status_rec,driver_assigned,canceled_by_type
94EH91,6037187,4233400,39,79,634,949,2397,3205,COMPLETED,5,"4772613,4233400,",79,0,39,,1,1,1,0
94DM3S,7812255,2650389,193,215,2882,2367,17728,17325,COMPLETED,5,"2650389,",215,1,21,,1,1,1,0
94F8TH,4078464,3317054,39,69,2027,762,4147,4147,COMPLETED,4,"3317054,",78,0,39,,1,1,1,0
94FJMT,983921,7678007,48,88,2317,1149,5765,5765,COMPLETED,5,"7678007,",96,0,48,,1,1,1,0
94C79R,1422947,7387953,48,97,1033,924,4602,4594,COMPLETED,5,"154971,7313802,2459283,2569396,5570362,7387953,",97,0,48,,1,1,1,0
94COGP,4358339,7366729,41,76,1564,844,4829,4829,COMPLETED,4,"7366729,",81,0,41,,1,1,1,0
94DMJN,6529042,5386116,49,92,1942,1051,6210,6210,COMPLETED,5,"5386116,",98,0,49,,1,1,1,0
94DQHS,4411343,7280871,30,61,730,827,2577,3307,COMPLETED,5,"7280871,",61,0,30,,1,1,1,0
94F8JM,3411562,7640587,35,70,1081,927,4120,4120,COMPLETED,0,"1913547,7640587,",70,0,35,,1,1,1,0
94G37H,344667,4424619,32,64,696,839,2693,2693,COMPLETED,5,"4424619,",64,0,32,,1,1,1,0
94G52E,2749527,418479,35,71,665,766,4343,4343,COMPLETED,5,"3246743,418479,",71,0,35,,1,1,1,0
94G6H5,3548444,6742014,47,94,1183,1141,6408,6310,COMPLETED,0,"4779747,2923775,2998863,3993321,274873,3324654,285852,2779973,1618001,6742014,",94,0,47,,1,1,1,0
94B2OP,74131,7585,49,98,805,1274,6627,6627,COMPLETED,5,"7585,",98,0,49,,1,1,1,0
94CPI7,637307,4049878,35,68,977,674,4095,4095,COMPLETED,5,"4049878,",70,0,35,,1,1,1,0
94D7QC,323215,7720426,205,228,1885,2038,18821,18821,COMPLETED,0,"2070369,7720426,",228,0,23,,1,1,1,0
94E09P,288125,2957057,31,61,720,715,3391,3439,COMPLETED,5,"957157,3842500,7430194,2957057,",61,0,31,,2,1,1,0
94ES86,3411965,5697023,47,93,854,967,4325,4325,COMPLETED,5,"7326787,4375105,936793,5697023,",93,0,47,,1,1,1,0
94ETRL,4220923,729733,32,65,775,646,2292,2292,COMPLETED,5,"335795,729733,",65,0,32,,1,1,1,0
94G72C,6597624,3818301,31,61,740,933,2918,3292,COMPLETED,0,"3818301,",61,0,31,,1,1,1,0
94BF4G,552223,5389624,48,96,779,782,4627,4627,COMPLETED,5,"7520604,842671,6120637,5389624,",96,0,48,,1,1,1,0
94DKEC,1361771,3680399,201,215,3588,2339,17363,17363,COMPLETED,0,"4651075,3354344,3680399,",223,0,22,,1,1,1,0
94E7IB,856306,6044201,39,78,876,707,3527,3527,COMPLETED,5,"3142714,2419872,6506744,919701,7488345,5113062,3747255,5814121,4663940,6044201,",78,0,39,,1,1,1,0
94EJ0R,7517271,4490057,45,88,1449,1066,4803,5760,COMPLETED,0,"1702685,5189827,7192540,4490057,",90,0,45,,1,1,1,0
94ENTG,587269,85923,35,60,1678,526,2078,2078,COMPLETED,1,"3491013,85923,",70,0,35,,1,1,1,0
94F618,4958162,3075144,49,51,1100,673,2196,2454,COMPLETED,5,"3075144,",54,0,5,,1,1,1,0
94G0J1,6253295,7038276,43,81,1192,630,3825,3825,COMPLETED,0,"2577634,6132525,7038276,",86,0,43,,1,1,1,0
94ATRR,222224,3188264,47,94,881,1057,6419,6419,COMPLETED,5,"3188264,",94,0,47,,1,1,1,0
94CFPA,3392854,5723300,192,205,2525,1644,11920,11920,COMPLETED,0,"3142714,5723300,",213,0,21,,1,1,1,0
94EHHP,137851,5444852,32,63,780,756,3600,3600,COMPLETED,0,"5361008,4612431,5444852,",63,0,32,,1,1,1,0
94G225,4206041,978168,33,66,741,661,3926,3926,COMPLETED,5,"2826917,978168,",66,0,33,,1,1,1,0
94D3LF,252387,7233270,46,51,401,571,2525,2525,COMPLETED,0,"7233270,",51,0,5,,1,1,1,0
94G4KQ,7561580,1926644,37,74,675,816,3194,3194,COMPLETED,5,"201922,3216402,3588693,4474028,2972113,1926644,",74,0,37,,1,1,1,0
94G7LN,2407783,3623400,84,168,1550,1779,13172,13172,COMPLETED,5,"3623400,",168,0,84,,1,1,1,0
94CTM4,370964,7405148,46,92,1215,1088,6227,6227,COMPLETED,5,"7405148,",92,0,46,,1,1,1,0
94DGC8,7633123,3498951,232,258,2899,2648,21213,21349,COMPLETED,0,"3498951,",258,0,26,,1,1,1,0
94DKP2,481110,4606704,40,79,970,1009,5001,5001,COMPLETED,5,"4606704,",79,0,40,,1,1,1,0
